,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
154,155,kth royal institute of technology,sweden,39.0,84.4,44.3,63.9,78.1,52.4,12062.0,14.6,21%,30 : 70
155,156,university of cologne,germany,42.2,53.1,38.0,75.0,68.5,52.3,43280.0,43.4,11%,60:40:00
156,157,university of liverpool,united kingdom,32.8,85.4,30.9,85.9,36.6,52.2,18815.0,13.6,30%,52:48:00
157,158,tu dresden,germany,41.4,47.7,45.8,66.1,99.7,52.1,35487.0,37.4,12%,42:58:00
158,158,university of rochester,usa,39.7,55.8,27.9,89.0,37,52.1,9390.0,4.5,26%,49:51:00
159,160,trinity college dublin,ireland,41.9,90.5,30.8,75.8,28,52,15521.0,18.0,25%,57:43:00
160,161,lomonosov moscow state university,russia,75.4,57.8,66.7,8.6,95.7,51.9,30822.0,7.7,20%,43:57:00
161,161,university of miami,usa,41.7,64.0,22.3,90.1,35.5,51.9,15286.0,5.7,14%,50:50:00
162,163,university of arizona,usa,38.7,38.6,41.8,79.5,32.4,51.7,36429.0,12.7,8%,52:48:00
163,164,pompeu fabra university,spain,32.9,63.3,28.0,90.7,37.2,51.2,10901.0,18.3,13%,59:41:00
164,164,university of reading,united kingdom,39.3,85.1,37.3,69.9,34.2,51.2,12050.0,14.8,28%,55:45:00
165,164,yeshiva university,usa,44.8,28.5,23.7,92.8,-,51.2,6753.0,5.5,7%,53:47:00
166,167,"university of california, riverside",usa,27.5,59.5,33.3,91.2,42.5,51.1,20626.0,22.0,12%,51:49:00
167,167,university of leicester,united kingdom,32.1,86.6,27.8,86.0,31.7,51.1,14541.0,13.4,35%,54:46:00
168,167,national taiwan university,taiwan,54.1,27.7,58.0,47.3,49.6,51.1,31891.0,11.9,7%,39 : 61
169,167,technical university of denmark,denmark,37.3,85.1,29.9,77.8,50,51.1,9990.0,5.0,18%,27 : 73
170,167,université catholique de louvain,belgium,38.7,74.2,40.6,68.4,51,51.1,28856.0,42.0,19%,54:46:00
171,172,university of aberdeen,united kingdom,29.7,91.4,31.4,82.6,43.1,51,12938.0,15.8,33%,54:46:00
172,172,university of auckland,new zealand,31.4,90.5,39.5,69.8,78,51,29787.0,18.9,28%,54:46:00
173,174,university of barcelona,spain,38.5,49.2,37.4,78.9,31.1,50.9,47491.0,12.2,10%,62:38:00
174,175,university of konstanz,germany,38.5,58.3,46.7,61.9,92.4,50.8,10930.0,59.1,12%,54:46:00
175,176,eindhoven university of technology,netherlands,34.3,71.3,41.0,70.7,57.3,50.6,8176.0,16.0,14%,0.847916667
176,176,university college dublin,ireland,35.0,86.3,38.5,70.8,33.5,50.6,22193.0,24.5,23%,nan
177,178,hebrew university of jerusalem,israel,45.8,55.6,41.4,64.6,31.9,50.5,17612.0,10.7,5%,55:45:00
178,179,university of waterloo,canada,35.4,74.4,43.9,66.5,39.5,50.3,30726.0,24.2,14%,45:55:00
179,180,university of gothenburg,sweden,28.5,58.3,39.8,81.8,30.3,50.2,26420.0,16.4,12%,nan
180,180,scuola superiore sant’anna,italy,42.5,45.2,23.2,84.5,71.2,50.2,769.0,8.5,17%,35 : 65
181,182,university of bergen,norway,32.5,70.0,31.5,82.4,36.2,50.1,11623.0,11.1,12%,60:40:00
182,182,cardiff university,united kingdom,30.9,78.1,31.6,82.0,34.6,50.1,23347.0,13.1,23%,57:43:00
183,182,university of utah,usa,35.6,30.1,35.3,83.7,57.4,50.1,25674.0,16.9,9%,45:55:00
184,185,brandeis university,usa,28.3,47.0,25.7,97.3,38.6,49.9,5495.0,12.6,22%,55:45:00
185,185,university of dundee,united kingdom,25.6,78.5,26.9,90.2,49.5,49.9,11628.0,15.3,25%,60:40:00
186,185,university of würzburg,germany,34.6,50.9,35.8,79.1,47.9,49.9,26576.0,38.4,8%,57:43:00
187,188,paris-sud university,france,38.7,64.2,29.0,79.8,28.8,49.8,27603.0,15.0,17%,nan
188,189,arizona state university,usa,32.4,31.9,38.1,84.6,32,49.7,83236.0,29.9,9%,50:50:00
189,190,university of antwerp,belgium,31.6,64.8,40.8,71.7,60.3,49.6,12346.0,30.3,16%,56:44:00
190,190,boston college,usa,34.1,60.0,29.3,83.3,46.8,49.6,13216.0,17.4,19%,54:46:00
191,192,ulm university,germany,35.2,58.2,23.9,86.4,58.4,49.5,9187.0,11.2,10%,47:53:00
192,193,university of luxembourg,luxembourg,25.0,99.8,26.7,84.8,38.1,49.4,5144.0,15.9,52%,50:50:00
193,193,texas a&m university,usa,49.4,47.8,52.4,47.1,46.4,49.4,50657.0,21.4,9%,47:53:00
194,195,charité - universitätsmedizin berlin,germany,37.3,61.1,22.2,83.8,68.4,49.3,6853.0,6.6,16%,64:36:00
